"","Row.Names","NMDS1","NMDS2","Species","Pollinator","Pair","species2","Salvia"
"SalFar_10","SalFar_10",0.0443408285342833,-0.0219965185443596,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_12","SalFar_12",0.0453956200421429,-0.0156826598882829,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_13","SalFar_13",0.0432670893112093,-0.0299483043447693,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_2","SalFar_2",0.0547423765763723,-0.0261012538195668,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_20","SalFar_20",0.0582843392324899,-0.0202891521782319,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_3","SalFar_3",0.0353420693683998,-0.00635596241699984,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_4","SalFar_4",0.00497665140067553,-0.00167975536753149,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_5","SalFar_5",0.0395140850598727,-0.152250818160517,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_6","SalFar_6",-0.0234932846004417,-0.142739821710583,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_7","SalFar_7",0.0498846431031216,-0.0421069203091169,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_8","SalFar_8",0.0591530240066341,-0.0312134126220862,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_X1","SalFar_X1",0.098242159252466,-0.0718372149659573,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_X2","SalFar_X2",0.0337965657488036,0.0206760581014975,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalFar_X3","SalFar_X3",0.0788178913078637,-0.118281877324542,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
"SalGreg_1","SalGreg_1",0.26329084135573,-0.120487206006712,"SalGre_12","BIRD",NA,"Salvia greggii","Salvia"
"SalGreg_10","SalGreg_10",0.191166721293455,-0.124322381064611,"SalGre_12","BIRD",NA,"Salvia greggii","Salvia"
