SppID,Species,Pollinator,Species2,Salvia
SalLeu_5,SalLeu_13,BEE,Salvia leucantha,Salvia
SalMic_1,SalMic_14,BIRD,Salvia microphylla,Salvia
SalMic_4,SalMic_14,BIRD,Salvia microphylla,Salvia
SalMic_6,SalMic_14,BIRD,Salvia microphylla,Salvia
SalMic_B5,SalMic_14,BIRD,Salvia microphylla,Salvia
SalMic_B6,SalMic_14,BIRD,Salvia microphylla,Salvia
SalReg_10,SalReg_15,BIRD,Salvia regla,Salvia
SalReg_B1,SalReg_15,BIRD,Salvia regla,Salvia
SalReg_FM10,SalReg_15,BIRD,Salvia regla,Salvia
SalReg_FM15,SalReg_15,BIRD,Salvia regla,Salvia
SalReg_W1,SalReg_15,BIRD,Salvia regla,Salvia
SalReg_W2,SalReg_15,BIRD,Salvia regla,Salvia
SalReg_W3,SalReg_15,BIRD,Salvia regla,Salvia
SalReg_W4,SalReg_15,BIRD,Salvia regla,Salvia
SalReg_W5,SalReg_15,BIRD,Salvia regla,Salvia
SalReg_W6,SalReg_15,BIRD,Salvia regla,Salvia
SalRoe_1,SalRoe_16,BIRD,Salvia roemeriana,Salvia
SalRoe_2,SalRoe_16,BIRD,Salvia roemeriana,Salvia
SalRoe_3,SalRoe_16,BIRD,Salvia roemeriana,Salvia
SalRoe_4,SalRoe_16,BIRD,Salvia roemeriana,Salvia
SalRoe_5,SalRoe_16,BIRD,Salvia roemeriana,Salvia
SalRoe_6,SalRoe_16,BIRD,Salvia roemeriana,Salvia
SalRoe_7,SalRoe_16,BIRD,Salvia roemeriana,Salvia
SalRoe_8,SalRoe_16,BIRD,Salvia roemeriana,Salvia
SalSin_1,SalSin_17,BEE,Salvia sinaloensis,Salvia
SalSin_2,SalSin_17,BEE,Salvia sinaloensis,Salvia
SalSin_3,SalSin_17,BEE,Salvia sinaloensis,Salvia
SalSin_4,SalSin_17,BEE,Salvia sinaloensis,Salvia
SalSin_5,SalSin_17,BEE,Salvia sinaloensis,Salvia
SalSin_6,SalSin_17,BEE,Salvia sinaloensis,Salvia
SalSin_7,SalSin_17,BEE,Salvia sinaloensis,Salvia
SalSin_8,SalSin_17,BEE,Salvia sinaloensis,Salvia
SalSin_BW101,SalSin_17,BEE,Salvia sinaloensis,Salvia
ScutSuf_1,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutSuf_2,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutSuf_3,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutSuf_4,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutSuf_5,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutSuf_6,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutSuf_7,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutSuf_8,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutSuf_B1,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutSuf_B2,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutSuf_B3,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutSuf_B4,ScutSuff_18,BIRD,Scutellaria suffrutescens,NO
ScutWri_1,ScutWri_19,BEE,Scutellaria wrightii,NO
ScutWri_2,ScutWri_19,BEE,Scutellaria wrightii,NO
ScutWri_3,ScutWri_19,BEE,Scutellaria wrightii,NO
ScutWri_4,ScutWri_19,BEE,Scutellaria wrightii,NO
ScutWri_5,ScutWri_19,BEE,Scutellaria wrightii,NO
ScutWri_6,ScutWri_19,BEE,Scutellaria wrightii,NO
ScutWri_7,ScutWri_19,BEE,Scutellaria wrightii,NO
ScutWri_8,ScutWri_19,BEE,Scutellaria wrightii,NO
StaCoc_1,StaCoc_20,BIRD,Stachys coccinea,NO
StaCoc_2,StaCoc_20,BIRD,Stachys coccinea,NO
StaCoc_3,StaCoc_20,BIRD,Stachys coccinea,NO
StaCoc_4,StaCoc_20,BIRD,Stachys coccinea,NO
StaCoc_5,StaCoc_20,BIRD,Stachys coccinea,NO
