row.ID,Individual,LeafConc,NectarConc,ATTRIBUTE_species,Pollinator,NPC.pathway,NPC.superclass,NPC.class
29353,AniQWr_4,37398.213,129494.08,Anisacanthus_quadrifidus,BIRD,Fatty acids,Fatty amides,N-acyl ethanolamines (endocannabinoids)
29353,SalReg_W4,57075.144,83773.86,Salvia_regla,BIRD,Fatty acids,Fatty amides,N-acyl ethanolamines (endocannabinoids)
29353,AniQWr_2,40620.883,44439.99,Anisacanthus_quadrifidus,BIRD,Fatty acids,Fatty amides,N-acyl ethanolamines (endocannabinoids)
29353,SalAzu_10,24898.667,38133.06,Salvia_azurea,BEE,Fatty acids,Fatty amides,N-acyl ethanolamines (endocannabinoids)
3003,AniQWr_3,34823.48,47327.06,Anisacanthus_quadrifidus,BIRD,Amino acids and Peptides,Small peptides,Tripeptides
3003,AniQWr_2,103023.53,38584.1,Anisacanthus_quadrifidus,BIRD,Amino acids and Peptides,Small peptides,Tripeptides
3003,AniQWr_4,80463.26,45187.84,Anisacanthus_quadrifidus,BIRD,Amino acids and Peptides,Small peptides,Tripeptides
3003,AniQWr_1,41698,34000.9,Anisacanthus_quadrifidus,BIRD,Amino acids and Peptides,Small peptides,Tripeptides
30079,ScutSuf_B3,17396.216,11277.98,Scutellaria_suffrutescens,BIRD,Fatty acids,Glycerolipids,Monoacylglycerols
30094,SalLeu_23,1666423,1893753,Salvia_leucantha,BEE,Fatty acids,Fatty acyls,Monoacylglycerols
3034,AniQWr_2,412464.6,66267.66,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
3034,AniQWr_1,103062.4,47562.55,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
3034,AniQWr_4,224176.99,68949.83,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
3036,AniQWr_4,1866706.1,701206.6,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
3036,AniQWr_2,2993647.9,602761.6,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
3041,AniQWr_1,176427.5,66190.8,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
3041,AniQWr_4,301435.6,96341.51,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
3041,AniQWr_2,556770.9,90117.01,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
3119,AniQWr_1,2551.0775,3361.807,Anisacanthus_quadrifidus,BIRD,Alkaloids,Nicotinic acid alkaloids,2-pyrone derivatives
32510,SalLeu_21,164484.5,108191.3,Salvia_leucantha,BEE,Fatty acids,Fatty amides,N-acyl amines
32510,SalBall_3,101410.9,199821.4,Salvia_ballotiflora,BEE,Fatty acids,Fatty amides,N-acyl amines
3358,AniQWr_1,7550.496,5921.489,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
3358,AniQWr_3,7996.025,7177.302,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
3371,AniQWr_3,3432.695,2520.237,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
3371,AniQWr_1,3136.156,1831.06,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
356,SalBall_5,101814.741,402849.72,Salvia_ballotiflora,BEE,Amino acids and Peptides,Small peptides,Aminoacids
356,SalCoc_4,17925.031,87208.39,Salvia_coccinea,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
3717,AniQWr_2,50391.35,25167.02,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
3717,AniQWr_7,27133.75,382358.8,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
3717,AniQWr_4,18895.62,24090.67,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
3717,AniQWr_3,13530.19,30961.82,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
3717,AniQWr_1,14558.84,19101.66,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
3719,AniQWr_1,7442.291,10447.65,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
3719,AniQWr_4,10129.786,13730.88,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
3719,AniQWr_2,28907.45,13626.23,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
