CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex,EdgeAnnotation
5196,5867,0.001,5196,0.9317,5196,17,NA
5898,6728,0,5898,0.9009,5898,17,NA
22180,24494,0.001,22180,0.8326,22180,17,NA
5503,5711,-0.001,5503,0.9122,5503,17,NA
21443,21642,-0.002,21443,0.972,21443,17,NA
4070,5482,18.012,4070,0.8438,4070,17,H2O
23197,24679,15.993,23197,0.8421,23197,17,O
4071,5503,0.001,4071,0.9157,4071,17,NA
20932,22763,-30.009,20932,0.7969,20932,17,CH2O
5898,7170,0,5898,0.9567,5898,17,NA
4078,5938,0.001,4078,0.7809,4078,17,NA
5867,7609,-0.001,5867,0.8765,5867,17,NA
20915,22763,-30.01,20915,0.7826,20915,17,CH2O
4070,5044,18.012,4070,0.8359,4070,17,H2O
5044,13150,-0.002,5044,0.8023,5044,17,NA
21642,24458,-14.016,21642,0.7854,21642,17,methanol (-H2O):CH2
7609,14065,0.002,7609,0.8072,7609,17,NA
5867,6728,-0.001,5867,0.9477,5867,17,NA
20915,20932,-0.001,20915,0.9303,20915,17,NA
10452,12257,-1.003,10452,0.8186,10452,17,isotope_13C
10437,12289,1.004,10437,0.8132,10437,17,isotope_13C:H
21642,23197,15.997,21642,0.816,21642,17,O
12250,14065,0.002,12250,0.8206,12250,17,NA
4073,5482,0.001,4073,0.9639,4073,17,NA
4044,5894,-0.001,4044,0.9424,4044,17,NA
16647,20932,2.016,16647,0.7897,16647,17,H2
5867,11085,0,5867,0.8489,5867,17,NA
10560,12289,0.002,10560,0.9408,10560,17,NA
4073,5044,0.002,4073,0.9149,4073,17,NA
5867,5898,-0.001,5867,0.9439,5867,17,NA
18819,20756,2.018,18819,0.8161,18819,17,H2
18819,23333,2.017,18819,0.8109,18819,17,H2
24494,26680,-14.016,24494,0.8286,24494,17,methanol (-H2O):CH2
20020,23305,2.015,20020,0.7849,20020,17,H2
12289,14065,0,12289,0.8548,12289,17,NA
4073,5225,0.001,4073,0.9406,4073,17,NA
24494,25851,15.993,24494,0.8286,24494,17,O
5196,7086,0.002,5196,0.9252,5196,17,NA
7086,14065,0,7086,0.8413,7086,17,NA
20020,23333,2.016,20020,0.7924,20020,17,H2
5225,7460,0,5225,0.912,5225,17,NA
18605,18819,-0.002,18605,0.855,18605,17,NA
4073,5196,0,4073,0.9377,4073,17,NA
20923,23197,0.002,20923,0.8509,20923,17,NA
20976,23305,-0.001,20976,0.918,20976,17,NA
18854,20756,2.016,18854,0.8104,18854,17,H2
10437,12257,0.001,10437,0.8763,10437,17,NA
22180,25851,15.994,22180,0.7856,22180,17,O
22180,25876,15.996,22180,0.8031,22180,17,O
20756,23333,0,20756,0.9253,20756,17,NA
5863,5894,-0.001,5863,0.9497,5863,17,NA
10560,14065,0.002,10560,0.8645,10560,17,NA
23333,25876,-14.015,23333,0.81,23333,17,methanol (-H2O):CH2
7086,7170,-0.002,7086,0.9293,7086,17,NA
5196,7170,0,5196,0.9149,5196,17,NA
4070,4073,18.01,4070,0.852,4070,17,H2O
18854,20915,15.994,18854,0.8496,18854,17,O
4044,5503,0,4044,0.9145,4044,17,NA
4070,7609,18.01,4070,0.8015,4070,17,H2O
22180,24458,-0.001,22180,0.8393,22180,17,NA
4071,5448,0,4071,0.874,4071,17,NA
4044,5711,-0.001,4044,0.9365,4044,17,NA
5482,14065,0.001,5482,0.8419,5482,17,NA
23197,25876,-14.016,23197,0.788,23197,17,methanol (-H2O):CH2
24458,26646,-14.016,24458,0.8379,24458,17,methanol (-H2O):CH2
20915,24679,2.015,20915,0.7815,20915,17,H2
18605,20932,15.993,18605,0.837,18605,17,O
22545,26680,-58.004,22545,0.7808,22545,17,N3O:C2H2O2
20976,24679,15.994,20976,0.8202,20976,17,O
5225,14065,0,5225,0.8106,5225,17,NA
13150,16647,0,13150,0.9278,13150,17,NA
5503,5863,0,5503,0.912,5503,17,NA
5225,5482,0,5225,0.9398,5225,17,NA
20923,23305,0,20923,0.8355,20923,17,NA
4059,5883,-0.001,4059,0.8261,4059,17,NA
4059,4073,18.009,4059,0.8171,4059,17,H2O
18854,23305,2.014,18854,0.8039,18854,17,H2
5482,7460,0.001,5482,0.9239,5482,17,NA
10452,10560,-0.001,10452,0.9185,10452,17,NA
5894,9041,0,5894,0.8412,5894,17,NA
10560,13150,0,10560,0.8892,10560,17,NA
5225,7609,-0.001,5225,0.8312,5225,17,NA
5196,13150,0,5196,0.8129,5196,17,NA
5448,5863,0.001,5448,0.8865,5448,17,NA
21685,23305,15.994,21685,0.7947,21685,17,O
4070,6728,18.011,4070,0.8341,4070,17,H2O
20976,21642,-15.996,20976,0.7956,20976,17,O
23305,24679,15.995,23305,0.8066,23305,17,O
10560,12250,0,10560,0.9107,10560,17,NA
4060,4071,18.009,4060,0.7929,4060,17,H2O
4060,4078,-0.001,4060,0.9412,4060,17,NA
20756,21443,-15.995,20756,0.7961,20756,17,O
12289,13150,-0.002,12289,0.8999,12289,17,NA
21642,21685,0.001,21642,0.9315,21642,17,NA
19780,20020,-0.001,19780,0.9002,19780,17,NA
20756,21685,-15.996,20756,0.794,20756,17,O
20756,24679,15.993,20756,0.7952,20756,17,O
4073,14065,0.002,4073,0.8222,4073,17,NA
5863,9041,-0.001,5863,0.8372,5863,17,NA
25851,25876,0.002,25851,0.9331,25851,17,NA
6728,7609,0,6728,0.8502,6728,17,NA
18605,20976,2.015,18605,0.7891,18605,17,H2
5482,10560,-0.001,5482,0.8165,5482,17,NA
18854,20932,15.993,18854,0.8407,18854,17,O
4044,5863,0,4044,0.9781,4044,17,NA
4070,7460,18.012,4070,0.8403,4070,17,H2O
19780,20923,2.014,19780,0.7822,19780,17,H2
10452,16647,-0.001,10452,0.9537,10452,17,NA
5898,7609,0,5898,0.847,5898,17,NA
7170,14065,0.002,7170,0.8274,7170,17,NA
10560,16647,0,10560,0.9498,10560,17,NA
12250,13150,0,12250,0.8526,12250,17,NA
20915,22782,-30.011,20915,0.8135,20915,17,CH2O
7609,11085,0.001,7609,0.7985,7609,17,NA
5044,14065,0,5044,0.7981,5044,17,NA
5711,5863,0.001,5711,0.935,5711,17,NA
7086,13150,-0.002,7086,0.8346,7086,17,NA
5863,12166,-0.001,5863,0.7961,5863,17,NA
10560,12257,-1.001,10560,0.8003,10560,17,isotope_13C
5503,5894,-0.001,5503,0.8857,5503,17,NA
4071,5894,0,4071,0.9309,4071,17,NA
5196,5898,0,5196,0.9306,5196,17,NA
18605,18854,-0.001,18605,0.899,18605,17,NA
13150,14065,0.002,13150,0.9507,13150,17,NA
7086,7460,0,7086,0.9234,7086,17,NA
24679,25876,-30.009,24679,0.7817,24679,17,CH2O
4070,5898,18.01,4070,0.8059,4070,17,H2O
5044,7086,0,5044,0.934,5044,17,NA
12250,20932,2.015,12250,0.8114,12250,17,H2
18819,20932,15.995,18819,0.7904,18819,17,O
10452,12289,0,10452,0.9225,10452,17,NA
4052,4059,197.09,4052,0.8767,4052,17,NA
18854,24458,-27.996,18854,0.7851,18854,17,CO
13150,20932,2.016,13150,0.7855,13150,17,H2
4071,9041,0,4071,0.7883,4071,17,NA
20756,23305,-0.002,20756,0.9033,20756,17,NA
4070,7170,18.01,4070,0.8065,4070,17,H2O
5044,11085,-0.001,5044,0.8504,5044,17,NA
4044,4071,-0.001,4044,0.9538,4044,17,NA
5898,7460,0.002,5898,0.9419,5898,17,NA
18819,18854,0.001,18819,0.8472,18819,17,NA
20976,24458,-30.012,20976,0.7841,20976,17,CH2O
4044,5448,-0.001,4044,0.8933,4044,17,NA
4060,7170,-12.001,4060,0.7846,4060,17,C
5482,5867,0,5482,0.9637,5482,17,NA
5044,7460,0,5044,0.9156,5044,17,NA
14065,16647,-0.002,14065,0.8956,14065,17,NA
24494,25876,15.995,24494,0.8619,24494,17,O
7086,10560,-0.002,7086,0.8151,7086,17,NA
5867,7086,0.001,5867,0.9634,5867,17,NA
21443,21685,-0.001,21443,0.9222,21443,17,NA
5482,7086,0.001,5482,0.9743,5482,17,NA
25876,26646,-30.012,25876,0.7871,25876,17,CH2O
10437,16647,1.002,10437,0.803,10437,17,isotope_13C
22782,25876,2.018,22782,0.8246,22782,17,H2
6728,7170,0,6728,0.8939,6728,17,NA
4073,7086,0.002,4073,0.9505,4073,17,NA
10437,10452,1.003,10437,0.8325,10437,17,isotope_13C
12166,20967,2.017,12166,0.7869,12166,17,H2
18605,20756,2.016,18605,0.7988,18605,17,H2
22782,26680,-27.993,22782,0.7985,22782,17,CO
18605,23333,2.015,18605,0.8252,18605,17,H2
4073,11085,0.001,4073,0.8328,4073,17,NA
20020,23197,2.017,20020,0.7956,20020,17,H2
20967,20988,-0.001,20967,0.9654,20967,17,NA
5196,7460,0.002,5196,0.9173,5196,17,NA
